HORA   VM1    VM2    VM3    VM4    VM5    
-----  -----  -----  -----  -----  -----  
14:45  31783  0      0      0      0      
14:46  32824  0      0      0      0      
14:47  32827  0      0      0      0      
14:48  16973  15872  0      0      0      
14:49  25149  23202  0      0      0      
14:50  32914  32937  0      0      0      
14:51  16941  32923  15837  0      0      
14:52  16461  33010  16317  0      0      
14:53  16438  33066  16302  0      0      
14:54  11458  29989  11196  10002  0      
14:55  16416  16374  16307  16476  0      
14:56  16422  16451  16407  16475  0      
14:57  11411  16367  11380  16437  10098  
14:58  10962  16437  10942  16495  11019  
14:59  10929  16445  10935  16457  11024  
15:00  10984  32545  10885  400    10972  
15:01  10886  32289  10920  0      10639  
15:02  14731  20209  14529  0      13342  
15:03  31580  16396  1380   0      16451  
15:04  32927  16389  0      0      16428  
15:05  32972  16368  0      0      16441  
15:06  33056  16398  0      0      16508  
15:07  32952  16335  0      0      16468  
15:08  33051  16427  0      0      16456  
15:09  32940  16440  0      0      16524  
15:10  10635  17770  0      0      10771  
